Model,nDCG Score
reut-w2v-w1-s10.json,0.008614635
reut-w2v-w1-s100.json,0.008567819
reut-w2v-w1-s300.json,0.008614635
reut-w2v-w1-s50.json,0.00870827
reut-w2v-w10-s10.json,0.008614635
reut-w2v-w10-s100.json,0.008766701
reut-w2v-w10-s300.json,0.008653322
reut-w2v-w10-s50.json,0.008653322
reut-w2v-w2-s10.json,0.008614635
reut-w2v-w2-s100.json,0.008648905
reut-w2v-w2-s300.json,0.00863591
reut-w2v-w2-s50.json,0.008614635
reut-w2v-w5-s10.json,0.008614635
reut-w2v-w5-s100.json,0.008653322
reut-w2v-w5-s300.json,0.00863591
reut-w2v-w5-s50.json,0.008653322
brown-w2v-w1-s10.json,0.008508845
brown-w2v-w1-s100.json,0.008695262
brown-w2v-w1-s300.json,0.008542923
brown-w2v-w1-s50.json,0.008889198
brown-w2v-w10-s10.json,0.008587266
brown-w2v-w10-s100.json,0.008642942
brown-w2v-w10-s300.json,0.008836733
brown-w2v-w10-s50.json,0.009307163
brown-w2v-w2-s10.json,0.008892852
brown-w2v-w2-s100.json,0.008946713
brown-w2v-w2-s300.json,0.008559105
brown-w2v-w2-s50.json,0.008999645
brown-w2v-w5-s10.json,0.008618055
brown-w2v-w5-s100.json,0.008820265
brown-w2v-w5-s300.json,0.008848171
brown-w2v-w5-s50.json,0.009109761
brown-tfidf.json,0.008508845
reuters-tdidf.json,0.008614635
